Feature,Importance
Survival Months,0.4723739655410504
Age,0.09216146340949599
Tumor Size,0.07552953823840569
Regional Node Examined,0.07369368134274912
Reginol Node Positive,0.06507660355665247
6th Stage,0.0359154482994595
N Stage,0.032042660042805676
Marital Status,0.030475568779550134
Progesterone Status,0.02499431927493418
Estrogen Status,0.02189130767702393
Grade,0.02137372239290503
T Stage ,0.019482390607454558
Race,0.01655585709072793
differentiate,0.014446556677050458
A Stage,0.003986917069734849
